technique,step,train_loss,val_loss
Shuffle,6150,1.461611,1.646599
Shuffle,6300,1.445235,1.655551
Shuffle,6450,1.442179,1.649463
Shuffle,6600,1.439063,1.658568
Shuffle,6750,1.416928,1.658577
Shuffle,6900,1.425233,1.644126
Shuffle,7050,1.425361,1.618478
Shuffle,7200,1.433681,1.650272
Shuffle,7350,1.422622,1.651545
Shuffle,7500,1.407127,1.628277
Shuffle,7650,1.414482,1.623145
Shuffle,7800,1.423770,1.632487
Shuffle,7950,1.420770,1.611214
Shuffle,8100,1.404178,1.637642
Shuffle,8250,1.416022,1.625264
Shuffle,8400,1.413141,1.620654
Shuffle,8550,1.400268,1.591436
Shuffle,8700,1.398553,1.627021
Shuffle,8850,1.405875,1.608098
Shuffle,9000,1.394238,1.591994
Shuffle,9150,1.395228,1.620838
Shuffle,9300,1.407644,1.592942
Shuffle,9450,1.404441,1.619649
Shuffle,9600,1.380448,1.604612
Shuffle,9750,1.396914,1.591220
Shuffle,9900,1.362935,1.595506
Shuffle,10050,1.390250,1.582244
Shuffle,10200,1.378897,1.614449
Shuffle,10350,1.373273,1.630264
Shuffle,10500,1.377778,1.611331
Shuffle,10650,1.361840,1.596153
Shuffle,10800,1.379659,1.586468
Shuffle,10950,1.380574,1.611460
Shuffle,11100,1.342660,1.575894
Shuffle,11250,1.364461,1.597330
Shuffle,11400,1.359984,1.588453
Shuffle,11550,1.369748,1.589745
Shuffle,11700,1.353786,1.581462
Shuffle,11850,1.369130,1.561070
Shuffle,12000,1.356709,1.563149
Shuffle,12150,1.362033,1.601765
Shuffle,12300,1.363549,1.598827
Shuffle,12450,1.364488,1.583730
Shuffle,12600,1.352922,1.554635
Shuffle,12750,1.359202,1.594813
Shuffle,12900,1.349061,1.593334
Shuffle,13050,1.346808,1.565288
Shuffle,13200,1.336314,1.546329
Shuffle,13350,1.346952,1.550782
Shuffle,13500,1.354411,1.588233
Shuffle,13650,1.355745,1.550365
Shuffle,13800,1.340642,1.583069
Shuffle,13950,1.343075,1.557337
Shuffle,14100,1.343156,1.562386
Shuffle,14250,1.335725,1.573621
Shuffle,14400,1.342358,1.578150
Shuffle,14550,1.341995,1.557216
Shuffle,14700,1.341040,1.581566
Shuffle,14850,1.342669,1.561969
Shuffle,14999,1.336573,1.560967
Circular,0,3.898872,3.905842
Circular,150,2.427979,2.411219
Circular,300,2.215591,2.230833
Circular,450,2.108947,2.129834
Circular,600,2.020975,2.063625
Circular,750,1.967051,2.040079
Circular,900,1.914169,1.981351
Circular,1050,1.853092,1.954006
Circular,1200,1.818545,1.916819
Circular,1350,1.787569,1.907995
Circular,1500,1.772671,1.895878
Circular,1650,1.734360,1.868285
Circular,1800,1.722867,1.861662
Circular,1950,1.697207,1.846886
Circular,2100,1.673199,1.838585
Circular,2250,1.676460,1.812459
Circular,2400,1.641963,1.824508
Circular,2550,1.634207,1.802965
Circular,2700,1.611992,1.804049
Circular,2850,1.613725,1.778121
Circular,3000,1.607354,1.787240
Circular,3150,1.588946,1.761360
Circular,3300,1.595107,1.756390
Circular,3450,1.576711,1.771180
Circular,3600,1.561900,1.720167
Circular,3750,1.543417,1.752833
Circular,3900,1.542721,1.723974
Circular,4050,1.534746,1.716895
Circular,4200,1.534004,1.708832
Circular,4350,1.527455,1.706861
Circular,4500,1.526315,1.704239
Circular,4650,1.506308,1.702079
Circular,4800,1.517930,1.703136
Circular,4950,1.507470,1.700394
Circular,5100,1.503829,1.691739
Circular,5250,1.478635,1.686602
Circular,5400,1.484774,1.657512
Circular,5550,1.480671,1.678560
Circular,5700,1.470880,1.671947
Circular,5850,1.468383,1.653576
Circular,6000,1.473614,1.676295
Circular,6150,1.454153,1.662376
Circular,6300,1.444906,1.650582
Circular,6450,1.444021,1.668768
Circular,6600,1.430182,1.636223
Circular,6750,1.430042,1.638877
Circular,6900,1.451031,1.639918
Circular,7050,1.436901,1.638774
Circular,7200,1.420564,1.647080
Circular,7350,1.436840,1.639789
Circular,7500,1.432011,1.650857
Circular,7650,1.439911,1.607865
Circular,7800,1.415916,1.622166
Circular,7950,1.427188,1.641593
Circular,8100,1.412157,1.619110
Circular,8250,1.424871,1.632074
Circular,8400,1.422293,1.629024
Circular,8550,1.419968,1.601259
Circular,8700,1.401027,1.626214
Circular,8850,1.422063,1.599342
Circular,9000,1.404220,1.605593
Circular,9150,1.388711,1.613274
Circular,9300,1.416615,1.637342
Circular,9450,1.382669,1.597575
Circular,9600,1.393453,1.621604
Circular,9750,1.395422,1.591377
Circular,9900,1.402694,1.596189
Circular,10050,1.391902,1.606459
Circular,10200,1.370799,1.591614
Circular,10350,1.381593,1.594871
Circular,10500,1.391082,1.611342
Circular,10650,1.388210,1.605829
Circular,10800,1.372607,1.588677
Circular,10950,1.362331,1.600946
Circular,11100,1.385653,1.586887
Circular,11250,1.386812,1.603149
Circular,11400,1.376885,1.583738
Circular,11550,1.377101,1.574154
Circular,11700,1.352202,1.613506
Circular,11850,1.392177,1.585763
Circular,12000,1.376528,1.627872
Circular,12150,1.378778,1.592615
Circular,12300,1.374634,1.590290
Circular,12450,1.374436,1.613959
Circular,12600,1.356147,1.592120
Circular,12750,1.376612,1.614131
Circular,12900,1.367045,1.562904
Circular,13050,1.354063,1.602514
Circular,13200,1.345617,1.599421
Circular,13350,1.373316,1.597780
Circular,13500,1.344281,1.587163
Circular,13650,1.364516,1.573607
Circular,13800,1.363692,1.596480
Circular,13950,1.342010,1.577527
Circular,14100,1.348758,1.601299
Circular,14250,1.362222,1.600104
Circular,14400,1.346500,1.588527
Circular,14550,1.352831,1.576668
Circular,14700,1.347136,1.571874
Circular,14850,1.350067,1.580801
Circular,14999,1.360863,1.579462
Circular + Shuffle,0,3.899068,3.907688
Circular + Shuffle,150,2.405183,2.414022
Circular + Shuffle,300,2.236019,2.217710
Circular + Shuffle,450,2.109187,2.139562
Circular + Shuffle,600,2.008680,2.061962
Circular + Shuffle,750,1.941461,2.021551
Circular + Shuffle,900,1.930776,1.972963
Circular + Shuffle,1050,1.857011,1.953286
Circular + Shuffle,1200,1.832772,1.941385
Circular + Shuffle,1350,1.793785,1.912193
Circular + Shuffle,1500,1.781112,1.882710
Circular + Shuffle,1650,1.747703,1.859211
Circular + Shuffle,1800,1.729884,1.861588
Circular + Shuffle,1950,1.701924,1.845616
Circular + Shuffle,2100,1.690488,1.823818
Circular + Shuffle,2250,1.675471,1.799892
Circular + Shuffle,2400,1.651730,1.815305
Circular + Shuffle,2550,1.624280,1.802610
Circular + Shuffle,2700,1.617479,1.798933
Circular + Shuffle,2850,1.597173,1.760356
Circular + Shuffle,3000,1.605979,1.788029
Circular + Shuffle,3150,1.572336,1.764518
Circular + Shuffle,3300,1.572542,1.751503
Circular + Shuffle,3450,1.560212,1.744692
Circular + Shuffle,3600,1.558987,1.732905
Circular + Shuffle,3750,1.538161,1.756240
Circular + Shuffle,3900,1.546760,1.723356
Circular + Shuffle,4050,1.538852,1.712421
Circular + Shuffle,4200,1.529233,1.705144
Circular + Shuffle,4350,1.524921,1.704971
Circular + Shuffle,4500,1.517046,1.698478
Circular + Shuffle,4650,1.506968,1.689028
Circular + Shuffle,4800,1.496025,1.668066
Circular + Shuffle,4950,1.502485,1.700811
Circular + Shuffle,5100,1.464855,1.691591
Circular + Shuffle,5250,1.468937,1.677584
Circular + Shuffle,5400,1.457309,1.643210
Circular + Shuffle,5550,1.449132,1.653176
Circular + Shuffle,5700,1.477539,1.672512
Circular + Shuffle,5850,1.454141,1.692242
Circular + Shuffle,6000,1.455849,1.686627
Circular + Shuffle,6150,1.469336,1.647661
Circular + Shuffle,6300,1.449892,1.664112
Circular + Shuffle,6450,1.447132,1.670213
Circular + Shuffle,6600,1.439005,1.663535
Circular + Shuffle,6750,1.425215,1.665050
Circular + Shuffle,6900,1.430222,1.662595
Circular + Shuffle,7050,1.428432,1.624618
Circular + Shuffle,7200,1.436130,1.659610
Circular + Shuffle,7350,1.429199,1.657107
Circular + Shuffle,7500,1.413975,1.623398
Circular + Shuffle,7650,1.420475,1.634552
Circular + Shuffle,7800,1.422955,1.619417
Circular + Shuffle,7950,1.426698,1.622640
Circular + Shuffle,8100,1.407329,1.634166
Circular + Shuffle,8250,1.419167,1.616501
Circular + Shuffle,8400,1.420968,1.635405
Circular + Shuffle,8550,1.402315,1.586066
Circular + Shuffle,8700,1.397914,1.626860
Circular + Shuffle,8850,1.405731,1.615660
Circular + Shuffle,9000,1.399389,1.615494
Circular + Shuffle,9150,1.393732,1.625664
Circular + Shuffle,9300,1.409175,1.598290
